Neighborhood,Park Count,Rank
East Liberty,12,1
Central Business District,10,2
Beechview,8,3
South Side Slopes,7,4
Point Breeze,7,4
Squirrel Hill South,6,6
Mount Washington,6,6
Sheraden,6,6
Hazelwood,6,6
South Side Flats,6,6
South Oakland,5,11
Troy Hill,5,11
Marshall-Shadeland,4,13
Elliott,4,13
Central Oakland,4,13
Brighton Heights,4,13
Garfield,3,17
Greenfield,3,17
North Shore,3,17
Central Northside,3,17
Swisshelm Park,3,17
Lower Lawrenceville,3,17
Point Breeze North,3,17
Beltzhoover,3,17
Brookline,3,17
Crawford-Roberts,3,17
Westwood,3,17
Lincoln-Lemington-Belmar,3,17
Larimer,3,17
Carrick,3,17
Spring Hill-City View,3,17
Bloomfield,3,17
Upper Lawrenceville,3,17
Manchester,3,17
Crafton Heights,2,35
Allentown,2,35
Perry South,2,35
Strip District,2,35
Spring Garden,2,35
Homewood North,2,35
Banksville,2,35
Allegheny Center,2,35
Highland Park,2,35
Fineview,2,35
West End,2,35
Perry North,2,35
Polish Hill,2,35
Terrace Village,2,35
Lincoln Place,2,35
Duquesne Heights,2,35
Homewood West,1,51
North Oakland,1,51
Windgap,1,51
Fairywood,1,51
Arlington,1,51
Central Lawrenceville,1,51
Hays,1,51
East Hills,1,51
Stanton Heights,1,51
Morningside,1,51
Bon Air,1,51
Upper Hill,1,51
Oakwood,1,51
Regent Square,1,51
New Homestead,1,51
West Oakland,1,51
Bedford Dwellings,1,51
Bluff,1,51
Middle Hill,1,51
Esplen,1,51
Homewood South,1,51
East Carnegie,1,51
Squirrel Hill North,1,51
